,O_All Other 3s,O_In the Paint,O_Rim,O_Corner 3 Left,O_Corner 3 Right,O_Mid 2,D_All Other 3s,D_In the Paint,D_Rim,D_Corner 3 Left,D_Corner 3 Right,D_Mid 2
Air Force,0.3333333333333333,0.34269662921348315,0.6561085972850679,0.4411764705882353,0.4411764705882353,0.31958762886597936,0.37894736842105264,0.3623853211009174,0.7021276595744681,0.41379310344827586,0.5,0.34408602150537637
Akron,0.3709677419354839,0.34375,0.6666666666666666,0.46153846153846156,0.14285714285714285,0.3793103448275862,0.3541666666666667,0.4583333333333333,0.7222222222222222,0.5555555555555556,0.3333333333333333,0.41379310344827586
Alabama,0.3123877917414722,0.4532710280373832,0.6588785046728972,0.3939393939393939,0.37662337662337664,0.315,0.31546707503828486,0.38923395445134573,0.5981818181818181,0.35,0.4186046511627907,0.36329588014981273
Alabama A&M,0.34328358208955223,0.24175824175824176,0.6507936507936508,0.375,0.5,0.25,0.44086021505376344,0.5535714285714286,0.89,0.16666666666666666,0.625,0.3333333333333333
Alabama State,0.30303030303030304,0.3717948717948718,0.5,0.0,0.6,0.2682926829268293,0.425,0.46296296296296297,0.6813186813186813,0.3333333333333333,0.4,0.375
Albany,0.23404255319148937,0.2727272727272727,0.4090909090909091,0.2,0.8,0.44,0.32,0.48484848484848486,0.5614035087719298,0.5,0.4,0.2631578947368421
Alcorn State,0.24242424242424243,0.3902439024390244,0.6,0.25,0.6,0.38235294117647056,0.43859649122807015,0.5833333333333334,0.6666666666666666,0.5555555555555556,0.3,0.4
American University,0.453125,0.5151515151515151,0.6417910447761194,0.26666666666666666,0.4375,0.0,0.5,0.47368421052631576,0.5974025974025974,0.5,0.5555555555555556,0.42857142857142855
Appalachian State,0.3129251700680272,0.43010752688172044,0.6346153846153846,0.2857142857142857,0.3333333333333333,0.3783783783783784,0.36792452830188677,0.5,0.6608695652173913,0.16666666666666666,0.6666666666666666,0.3333333333333333
Arizona,0.3724770642201835,0.46284501061571126,0.722027972027972,0.47058823529411764,0.2857142857142857,0.4430379746835443,0.337228714524207,0.39341085271317827,0.6187943262411347,0.5,0.4473684210526316,0.325
Arizona State,0.3483535528596187,0.39209726443769,0.6515463917525773,0.37209302325581395,0.35294117647058826,0.40559440559440557,0.3346938775510204,0.39944903581267216,0.6463414634146342,0.4528301886792453,0.2608695652173913,0.3356643356643357
Arkansas,0.40286298568507156,0.37142857142857144,0.6878850102669405,0.3409090909090909,0.2972972972972973,0.36875,0.3693379790940767,0.3416666666666667,0.6702819956616052,0.32727272727272727,0.3333333333333333,0.3385416666666667
Arkansas State,0.3392857142857143,0.23529411764705882,0.53125,0.0,0.5,0.5263157894736842,0.37777777777777777,0.5294117647058824,0.64,0.4,0.4,0.4090909090909091
Arkansas-Little Rock,0.25,0.3333333333333333,0.5641025641025641,0.0,0.0,0.4,0.3684210526315789,0.36363636363636365,0.7222222222222222,0.3333333333333333,0.25,0.3333333333333333
Arkansas-Pine Bluff,0.2619047619047619,0.44776119402985076,0.6567164179104478,0.5,0.0,0.34285714285714286,0.3373493975903614,0.44,0.6693548387096774,0.5,0.5294117647058824,0.28
Army,0.4322033898305085,0.4166666666666667,0.6382978723404256,0.0,0.5,0.21739130434782608,0.2727272727272727,0.631578947368421,0.7741935483870968,0.8333333333333334,0.25,0.5384615384615384
Auburn,0.3367952522255193,0.3053691275167785,0.6355633802816901,0.3829787234042553,0.4146341463414634,0.2542372881355932,0.32637571157495254,0.41369047619047616,0.5902912621359223,0.3333333333333333,0.4827586206896552,0.375
Austin Peay,0.35789473684210527,0.4818181818181818,0.5857142857142857,0.5714285714285714,0.14285714285714285,0.2127659574468085,0.37349397590361444,0.47959183673469385,0.7228915662650602,0.42857142857142855,0.4,0.36363636363636365
BYU,0.3342391304347826,0.4619289340101523,0.6831955922865014,0.4,0.4523809523809524,0.40594059405940597,0.3462414578587699,0.4495114006514658,0.6912181303116147,0.3684210526315789,0.28,0.35251798561151076
Ball State,0.2631578947368421,0.46296296296296297,0.6363636363636364,0.6,0.42857142857142855,0.3333333333333333,0.4074074074074074,0.4339622641509434,0.631578947368421,0.25,0.0,0.23529411764705882
Baylor,0.3325062034739454,0.41358024691358025,0.6503937007874016,0.3582089552238806,0.4339622641509434,0.33157894736842103,0.3339317773788151,0.4082125603864734,0.5626283367556468,0.3924050632911392,0.3058823529411765,0.3688212927756654
Belmont,0.3263157894736842,0.5,0.7313432835820896,0.4444444444444444,0.26666666666666666,0.6666666666666666,0.35064935064935066,0.4461538461538462,0.6041666666666666,0.2857142857142857,0.0,0.45
Bemidji State,0.14285714285714285,0.14285714285714285,0.375,1.0,0.6666666666666666,0.375,0.3424657534246575,0.3,0.7321428571428571,0.75,0.3333333333333333,0.375
Bethune-Cookman,0.1896551724137931,0.3,0.5483870967741935,0.2,0.125,0.20833333333333334,0.4727272727272727,0.15384615384615385,0.71875,0.6363636363636364,0.3333333333333333,0.20689655172413793
Binghamton,0.4117647058823529,0.3333333333333333,0.6,1.0,0.3333333333333333,0.4,0.5,0.07692307692307693,0.5263157894736842,0.0,0.75,0.42857142857142855
Boise State,0.38492063492063494,0.4197183098591549,0.6511627906976745,0.375,0.4634146341463415,0.2708333333333333,0.34292565947242204,0.408955223880597,0.6516290726817042,0.3392857142857143,0.35185185185185186,0.33480176211453744
